date,code,peTTM
2021-09-30,sz.300296,-28.745712
2021-09-30,sh.600145,-27.757639
2021-09-30,sz.000503,-27.599156
2021-09-30,sz.002639,-26.461667
2021-09-30,sz.002021,-26.283005
2021-09-30,sz.002748,-26.20985
2021-09-30,sz.002031,-26.083782
2021-09-30,sz.300144,-26.037525
2021-09-30,sz.002193,-25.865573
2021-09-30,sz.002411,-25.857806
2021-09-30,sh.600365,-25.780934
2021-09-30,sz.300189,-25.6311
2021-09-30,sz.002174,-25.582569
2021-09-30,sh.600209,-25.532103
2021-09-30,sz.002816,-25.52604
2021-09-30,sh.688520,-25.427046
2021-09-30,sh.600671,-25.088648
2021-09-30,sz.300094,-24.972699
2021-09-30,sz.002379,-24.541431
2021-09-30,sz.300736,-24.437853
2021-09-30,sz.300051,-24.382529
2021-09-30,sz.300249,-24.275986
2021-09-30,sz.002317,-23.955448
2021-09-30,sh.688158,-23.783221
2021-09-30,sz.002337,-23.777773
2021-09-30,sz.002992,-23.588916
2021-09-30,sh.600091,-23.129154
2021-09-30,sz.300588,-23.017637
2021-09-30,sz.002374,-22.989513
2021-09-30,sz.300374,-22.919886
2021-09-30,sz.000524,-22.783415
2021-09-30,sh.600609,-22.567909
2021-09-30,sz.002512,-22.563731
2021-09-30,sz.300745,-22.528648
2021-09-30,sh.603168,-22.324777
2021-09-30,sh.603083,-22.307303
2021-09-30,sz.300442,-22.229028
2021-09-30,sz.000798,-22.155107
2021-09-30,sz.300024,-21.967886
2021-09-30,sz.300526,-21.636988
2021-09-30,sh.600664,-21.345965
2021-09-30,sh.600858,-21.334086
2021-09-30,sh.600712,-21.099611
2021-09-30,sh.603399,-21.038826
2021-09-30,sz.002659,-21.002488
2021-09-30,sz.300180,-20.930006
2021-09-30,sh.603717,-20.725694
2021-09-30,sz.000957,-20.610887
2021-09-30,sz.300233,-20.295664
2021-09-30,sh.600962,-20.273912
2021-09-30,sz.300410,-20.267921
2021-09-30,sz.300591,-20.161037
2021-09-30,sz.002663,-20.091346
2021-09-30,sz.300392,-19.632669
2021-09-30,sh.600651,-19.552753
2021-09-30,sz.300208,-19.44192
2021-09-30,sh.600306,-19.404707
2021-09-30,sz.300048,-19.253615
2021-09-30,sz.000702,-19.202562
2021-09-30,sz.300583,-19.127299
2021-09-30,sz.300389,-19.052455
2021-09-30,sz.002186,-18.83778
2021-09-30,sh.600936,-18.794885
2021-09-30,sz.000068,-18.790782
2021-09-30,sz.000525,-18.771603
2021-09-30,sz.000421,-18.691646
2021-09-30,sz.300068,-18.656436
2021-09-30,sz.002387,-18.641907
2021-09-30,sz.002587,-18.349184
2021-09-30,sz.002331,-18.340946
2021-09-30,sz.000806,-18.249592
2021-09-30,sz.002292,-18.134253
2021-09-30,sz.300293,-18.036975
2021-09-30,sh.600758,-17.599724
2021-09-30,sz.300477,-17.386376
2021-09-30,sz.002141,-17.274546
2021-09-30,sh.600105,-17.165742
2021-09-30,sh.603030,-17.153759
2021-09-30,sz.300506,-16.999244
2021-09-30,sz.300270,-16.966639
2021-09-30,sh.601718,-16.920319
2021-09-30,sz.000667,-16.706226
