date,code,pbMRQ
2021-09-30,sh.600405,3.541761
2021-09-30,sh.600406,5.826601
2021-09-30,sh.600408,1.397021
2021-09-30,sh.600409,1.868066
2021-09-30,sh.600410,1.577425
2021-09-30,sh.600415,1.834309
2021-09-30,sh.600416,4.139153
2021-09-30,sh.600418,1.891015
2021-09-30,sh.600419,2.161886
2021-09-30,sh.600420,1.208531
2021-09-30,sh.600421,47.716641
2021-09-30,sh.600422,1.452495
2021-09-30,sh.600423,7.316210
2021-09-30,sh.600425,1.094570
2021-09-30,sh.600426,3.702830
2021-09-30,sh.600428,1.615856
2021-09-30,sh.600429,1.618444
2021-09-30,sh.600433,3.327406
2021-09-30,sh.600435,6.202294
2021-09-30,sh.600436,27.007382
2021-09-30,sh.600438,7.107095
2021-09-30,sh.600439,1.144705
2021-09-30,sh.600444,2.672671
2021-09-30,sh.600446,3.688407
2021-09-30,sh.600448,1.385550
2021-09-30,sh.600449,0.840121
2021-09-30,sh.600452,6.248995
2021-09-30,sh.600455,6.225664
2021-09-30,sh.600456,3.918745
2021-09-30,sh.600458,1.700475
2021-09-30,sh.600459,3.534321
2021-09-30,sh.600460,20.632134
2021-09-30,sh.600461,1.555492
2021-09-30,sh.600462,70.842687
2021-09-30,sh.600463,1.486401
2021-09-30,sh.600466,0.555267
2021-09-30,sh.600467,1.130917
2021-09-30,sh.600468,3.049497
2021-09-30,sh.600469,1.127185
2021-09-30,sh.600470,2.794982
2021-09-30,sh.600475,1.242899
2021-09-30,sh.600476,10.407839
2021-09-30,sh.600477,1.952090
2021-09-30,sh.600478,4.309429
2021-09-30,sh.600479,1.816122
2021-09-30,sh.600480,1.324679
2021-09-30,sh.600481,8.414449
2021-09-30,sh.600482,1.090277
2021-09-30,sh.600483,2.076844
2021-09-30,sh.600486,4.982937
2021-09-30,sh.600487,1.622242
2021-09-30,sh.600488,1.575257
2021-09-30,sh.600489,1.666189
2021-09-30,sh.600490,1.707523
2021-09-30,sh.600491,0.802387
2021-09-30,sh.600493,1.685107
2021-09-30,sh.600495,1.354877
2021-09-30,sh.600496,1.072268
2021-09-30,sh.600497,1.633265
2021-09-30,sh.600498,1.852561
2021-09-30,sh.600499,5.176997
2021-09-30,sh.600500,2.185303
2021-09-30,sh.600501,1.771544
2021-09-30,sh.600502,0.863710
2021-09-30,sh.600503,1.317011
2021-09-30,sh.600505,2.747413
2021-09-30,sh.600506,5.487567
2021-09-30,sh.600507,2.074225
2021-09-30,sh.600508,0.861332
2021-09-30,sh.600509,1.353944
2021-09-30,sh.600510,0.873878
2021-09-30,sh.600511,1.876171
2021-09-30,sh.600512,0.885217
2021-09-30,sh.600513,2.191246
2021-09-30,sh.600515,6.043207
2021-09-30,sh.600516,2.723930
2021-09-30,sh.600517,2.651461
2021-09-30,sh.600518,-1.884878
2021-09-30,sh.600519,14.213390
2021-09-30,sh.600520,3.314257
2021-09-30,sh.600521,4.047184
2021-09-30,sh.600522,1.226781
2021-09-30,sh.600523,2.244057
2021-09-30,sh.600525,1.866286
2021-09-30,sh.600526,1.751128
2021-09-30,sh.600527,1.724658
2021-09-30,sh.600528,0.930714
2021-09-30,sh.600529,4.046891
2021-09-30,sh.600530,3.101527
2021-09-30,sh.600531,1.579743
2021-09-30,sh.600532,5.124111
2021-09-30,sh.600533,0.741059
2021-09-30,sh.600535,1.622067
2021-09-30,sh.600536,12.627831
2021-09-30,sh.600537,2.133385
2021-09-30,sh.600538,5.552071
2021-09-30,sh.600539,3.697397
2021-09-30,sh.600540,4.481835
2021-09-30,sh.600543,1.929548
2021-09-30,sh.600545,1.356892
2021-09-30,sh.600546,3.123150
2021-09-30,sh.600547,3.458973
2021-09-30,sh.600548,1.287476
2021-09-30,sh.600549,4.143986
2021-09-30,sh.600550,15.616743
2021-09-30,sh.600551,0.779836
2021-09-30,sh.600552,2.686665
2021-09-30,sh.600555,2.681502
2021-09-30,sh.600556,4.228943
2021-09-30,sh.600557,1.394950
2021-09-30,sh.600558,1.431933
2021-09-30,sh.600559,5.778278
2021-09-30,sh.600560,2.403709
2021-09-30,sh.600561,1.329548
2021-09-30,sh.600562,3.902212
2021-09-30,sh.600563,13.561904
2021-09-30,sh.600565,0.577384
2021-09-30,sh.600566,1.828728
2021-09-30,sh.600567,0.990696
2021-09-30,sh.600568,0.946480
2021-09-30,sh.600569,0.927457
2021-09-30,sh.600570,18.370313
2021-09-30,sh.600571,3.693551
2021-09-30,sh.600572,2.120105
2021-09-30,sh.600573,1.684876
2021-09-30,sh.600575,1.003160
2021-09-30,sh.600576,2.949726
2021-09-30,sh.600577,3.513699
2021-09-30,sh.600578,0.998839
2021-09-30,sh.600579,1.136877
2021-09-30,sh.600580,2.192253
2021-09-30,sh.600581,2.169430
2021-09-30,sh.600582,1.189506
2021-09-30,sh.600583,0.933774
2021-09-30,sh.600584,2.934087
2021-09-30,sh.600585,1.307612
2021-09-30,sh.600586,3.002943
2021-09-30,sh.600587,2.320814
2021-09-30,sh.600588,16.574516
2021-09-30,sh.600589,1.459989
2021-09-30,sh.600590,1.612260
2021-09-30,sh.600592,1.709272
2021-09-30,sh.600593,3.344524
2021-09-30,sh.600594,1.363063
2021-09-30,sh.600595,4.329830
2021-09-30,sh.600596,3.596268
2021-09-30,sh.600597,2.763740
2021-09-30,sh.600598,3.837442
2021-09-30,sh.600599,1.986920
2021-09-30,sh.600600,4.953355
2021-09-30,sh.600601,14.068339
2021-09-30,sh.600602,1.826349
2021-09-30,sh.600603,0.731343
2021-09-30,sh.600604,1.575197
2021-09-30,sh.600605,2.000400
